createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
2020-08-16,3412606188,1.,0,7675764598,欧美流行｜快乐旋律让你沉沦其中,492908
2020-12-11,1152921504689404423,Jackey🤓（互关私）,0,7810389838,想快快长大，才能保护母亲,127937
2020-07-12,3250986093,】Alex【,0,1721400911,欧美梦幻之歌 | 治愈你的云端梦,36367
2018-10-27,1127914446,青梦,0,5375317625,「硬核战歌」无音乐不游戏,59633246
2020-07-01,1446887291,Addictedtomusic,0,7000491330,英文嘻哈｜丧中取乐 享受孤独,720367
2020-11-30,1205237411,圣地亚哥老蝙蝠,0,7798823985,初代到泽塔经典BGM和主题曲,163476
2016-12-19,237370213,可惜没如果,0,1742108428,林俊杰歌单,21712050
2017-02-07,25561202,小Q,0,1452052493,100首精选粤语歌  怀念旧时光,79047101
2020-09-06,2350439365,Blink-Swiftie ,0,7706788408,王牌女团 | 用实力征服你的耳朵,3469870
2020-09-30,2667533186,正在加载中…,0,7727383695,超甜Rap｜♥︎给喜欢的人听♥︎,137305
2020-09-10,910801164,偏见.,0,7710032695,宝藏歌曲 | 星辰闪烁 云朵温柔,6769265
2016-11-24,931905769,陈哲,2,3540484302,学霸必备：专心写作业 享受轻音乐好时光,53902297
2020-04-08,3181838466,沐,0,2683955247,开车听一听 交警后面追,1500363
2018-01-16,1505754053,E.L.M.雷神,0,3658457678,90有你：听不完的那些回忆,34402634
2020-03-30,2235414701,张卿允,2,7499337095,任然：把思念装进漂流瓶,23127444
2020-10-02,823909086, ,0,7733073935,古风｜举杯独醉茫然又一年岁,1517255
2020-07-16,452775188,还不是因为你长得不好看,2,7639593815,华语珍藏：90后KTV必点曲目,4771658
2020-11-13,1959401541,Spinnin,0,7779294041,［电音＋耳机］电子竞技的神器,45006
2020-08-16,963737492,依々晴,0,7657332746,古风戏腔 | 兰花指捻红尘似水,13381689
2017-04-03,348361207,风少,2,2919117025,懒懒散散的爵士，自由散漫的蓝调,631717
2020-04-20,1054837037,书不尽清风,0,7530172964,古风 • 我在等风，也等你,3104097
2020-06-25,3261609492,为安不够好.,0,7613171044,慢调rap | 孤独到了极致便是享受,1381503
2020-06-08,2437571909,,0,7572797161,正义的化身 · 奥特曼申请出战！,422491
2020-08-06,1152921505008899648,不问归期·,0,7666951595,戏腔古风 | 一曲离殇 戏子多愁,1460687
2020-07-30,2788132285,銀河不落星系,0,3748979450,K-POP｜韩流时代即将到来,2518662
2020-11-01,2188766429,是可妮a.,0,7767362229,国语 | 人间美好，日落和你,3185083
2020-09-01,354284502,此号被盗,0,7690031361,EA7车载 | 飙车党的速度与激情,270734
2020-12-01,3423662166,星航T,0,7800210639,奥特曼系列ol：汇聚银河之光,93731
2020-09-16,1924797443,晚乔,0,7591760875,情感│雨好大啊！我们都回不去了,26960212
2019-12-24,1127914446,青梦,0,7261817420,『b站阿婆主』宝藏神曲无限循环,9580906
2017-09-29,1812948313,私に闻いて风i,2,1781021825,每科都考99分！学霸专用的唯美の纯音,57244365
2020-05-04,2374133080,LANNÉ,0,7547485149,韩语 | 韩国各大厂牌顶尖作品,10225164
2020-03-23,864758248,一封情书给自己,0,7487200397,极致踩点丨B站高燃混剪收录单,5942235
2020-07-04,1556178653,八幡,0,7608075165,『电竞』带上耳机，个个都是传奇,12413451
2020-10-06,1443329766,Arminius.,0,7739955818,蓝心羽｜如玫瑰般优雅高贵的嗓音,341231
2020-08-02,1309974854,　,0,7322622901,欧美女声 | 开口惊艳 入耳沦陷,10924328
2020-05-23,2040793374,璃想呐,0,2075995542,忽然想起我们还没有好好道别,9370395
2020-08-11,1350916312,仙儿,0,7673938741,国语 | 女孩子嘛就要听甜甜的歌,5013207
2020-09-09,1152921504681001855,必胜🤟,0,7708875728,时光留声机：90后都在慢慢老去,875507
2020-09-29,929284,温柔的神明,0,7731188543,【游戏专属】闪开我要拿五杀,1237798
2020-04-06,1022543731,热文案,2,7510686711,夜独 · 四下无人时我也会崩溃,14317603
2020-10-24,2042202855,凌晨三点半,0,7758895754,热歌集丨落日余晖，待你而归♡,6312910
2020-07-01,1522729603,卋罖,0,7049802192,睡前音乐｜那些温柔翻唱的歌曲,2923022
2017-12-07,478695379,DJ顾念晨,3,3584864556,刺激不！老板上班都要偷偷听的百首热歌,17966407
2020-11-15,3111491292,沐雨,0,7705310639,上单必备BGM:我于绝境逆风而生！,231697
2019-06-25,2827745225,智能算法大师,2,7060352909,社会摇 | 摇头晃脑，我是王者,2702104
2020-03-23,2660746954,乔冷,0,7485788455,粤语丨忘掉烦恼往事皆随风,6812432
2019-05-06,977423823,幼杀大队长.,0,1551071404,流行 | 近年来火爆全网的歌曲,93183943
2017-08-10,3498192741,画船听雨眠～,2,1169458772,「欧美清新小调」吹进耳朵里的清风,4277649
2020-12-09,2979842415,桃Tao音乐志,2,7808532987,Billboard编辑评出今年50大单曲,80852
2020-07-16,1826760032,Moriiecho,0,7640194255,霉粉收藏！霉霉顶流播放songs！,780560
2020-03-13,1498030674,星野一,2,7471755205,助眠纯音 · 香甜梦境催化剂,832329
2020-08-15,312590452,石上优いしがみ ゆう,0,7679032670,疯狂踩点 l 嚣张步伐的练成方式,600825
2020-09-23,1522531377,PC12138,0,7713973940,赌一包辣条，95后肯定听过这些歌,1181925
2020-11-01,3427724427,北川同学,0,7767162979,催泪100% | 试图截图留住一切,4397141
2020-11-27,1152921505046073227,Jose.chen,0,7794926900,当年“血洗”qq空间的背景音乐,88537
2017-08-10,3050361411,古耐moon,2,1169467842,「古装影视曲」勾起你的怀旧情愫,8079896
2020-08-12,1152921504949336113,☁️火星预报员☁️,0,7651874828,温柔片段：我在人间贩卖日落。,1344674
2020-11-03,1242012453,自渡·,0,7769012058,小阿枫 | 翻唱也不失歌曲精髓,6127570
2020-10-07,814291832,念惜,0,7741493723,古风｜红尘千丈，诉不尽繁花似锦,1624712
2020-04-20,749914525,Randolph,0,7478371305,超燃纯音 | 史诗级Battle,543522
2019-08-23,2103461797,随꙰你꙰所꙰喜꙰°,2,7136488611,「甜系情歌」融化你的少女心,7615912
2020-04-10,1371887665,楠羽.,0,7516321215,钢琴与流行乐的唯美邂逅『持更』,17996278
2020-09-09,1152921504681001855,必胜🤟,0,7709787690,90后怀旧|那些年我们曾唱过的歌,8647871
2017-01-16,120167780,xxxx.,0,850489245,易烊千玺单曲,9235889
2020-10-01,746503843,♪森❀森♪,0,7691851600,【宝藏男音】 捕获你的小心脏 ♡,1661051
2020-03-24,951337808,Future,0,7488993038,专注力百分百学习歌单 | 纯音乐版,3308543
2020-03-03,3138960748,Lemon.,0,7454774035,Trap rap : 慵懒气泡男嗓,2664197
2018-01-08,1079096147,超级珊,2,3634945575,致前任：你以为我不会走，我以为你会留,111669022
2017-12-18,1367363703,就是爱音乐,2,3604761333,入坑必听 | 古风一曲解千愁,11725309
2020-07-10,2896444587,温柔,0,7633043823,「古风」一曲一场叹，一生为一人,38182704
2020-08-30,1966651916,爱听音乐♥秦小言支持国产动画↑,0,4235925035,《超然的BGM》游戏素材专用,5139170
2020-03-02,864758248,一封情书给自己,0,7451573651,注入灵魂丨B站大佬们的宝藏歌曲,3712253
2019-10-14,2720774621,Flipped,2,7254963443,『水逆退散』您的好运正在配送中,1440805
2020-10-03,892608619,Boom,0,7736982127,魔鬼低音rapper的情歌合集,173585
2020-09-22,1152921504949453792,刃,0,7723989462,轻音乐 | 随着音乐旋律缓缓睡去,275653
2020-10-20,1152921504687801696,🐻熊小歪是涛涛🍑的.🧨,0,7754460785,李飘飘合集 | 可爱系暖心男友音,482962
2020-02-27,2235414701,张卿允,2,7447666481,小众英文｜世间所有温柔涌向你,5119857
2020-02-21,1950666740,★、╰︶,2,7428961315,百首流行 · 00后麦霸速成宝典,57726078
2020-08-07,1878617607,✘✘,0,7236259943,欧美Rap | 炸街必备，走路带风,322463
2020-10-25,3209593870,廾匸,0,7759892956,能让人成熟的，不是年龄而是经历,2132254
2020-11-03,3429084452,自由摇摆节奏,0,7715823716,指尖温柔：岸部真明精选集,61805
2020-04-30,2374133080,LANNÉ,0,5142656683,EA7  俄式硬曲 | 车载低音 稳住油门,6464851
2019-12-24,1127914446,青梦,0,7267095757,「粤语热歌」港风新韵单曲循环,11488197
2019-09-17,3446073512,酸柠檬好好恰,2,7199061409,中国新说唱 | 这些现场都很炸！,829929
2020-10-24,2446523656,幻菱,0,7758029803,【催眠助眠】舒缓轻音乐伴你入睡,4883086
2017-03-19,1220667525,安多,2,2357765928,值得收藏的100首古风： 赠君一场千年梦,70313912
2020-03-25,2816821559,南穹羽玄,0,5922914682,节奏控：跟随踩点，秀大神操作,3471536
2020-09-13,2987408894,要做一颗星星✨,0,7714254773,小确丧｜一个人听完心碎了,11621242
