,createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
62,2020-04-10,1371887665,楠羽.,0,7516321215,钢琴与流行乐的唯美邂逅『持更』,17283931
63,2020-09-09,1152921504681001855,必胜🤟,0,7709787690,90后怀旧|那些年我们曾唱过的歌,8217266
64,2017-01-16,120167780,xxxx.,0,850489245,易烊千玺单曲,9117657
65,2020-10-01,746503843,♪森❀森♪,0,7691851600,【宝藏男音】 捕获你的小心脏 ♡,1453167
66,2020-03-24,951337808,Future,0,7488993038,专注力百分百学习歌单 | 纯音乐版,3266309
67,2020-03-03,3138960748,Lemon.,0,7454774035,Trap rap : 慵懒气泡男嗓,2646998
68,2018-01-08,1079096147,超级珊,2,3634945575,致前任：你以为我不会走，我以为你会留,111642309
69,2017-12-18,1367363703,迪迦,2,3604761333,入坑必听 | 古风一曲解千愁,11705215
70,2020-07-10,2896444587,温柔,0,7633043823,「古风」一曲一场叹，一生为一人,37539441
71,2020-08-30,1966651916,爱听音乐♥秦小言支持国产动画↑,0,4235925035,《超然的BGM》游戏素材专用,4921821
72,2020-03-02,864758248,一封情书给自己,0,7451573651,注入灵魂丨B站大佬们的宝藏歌曲,3679412
73,2019-10-14,2720774621,Flipped,2,7254963443,『水逆退散』您的好运正在配送中,1433114
74,2020-10-03,892608619,Boom,0,7736982127,魔鬼低音rapper的情歌合集,163055
75,2020-09-22,1152921504949453792,刃,0,7723989462,轻音乐 | 随着音乐旋律缓缓睡去,263566
76,2020-09-12,2452164904,糯米团,0,7712802404,治愈男音:挑战不心动男声,5360851
77,2020-10-20,1152921504687801696,🎄🐻熊小歪是涛涛🍑的.ʕ暂退ʔ,0,7754460785,李飘飘合集 | 可爱系暖心男友音,424711
78,2020-02-27,2235414701,张卿允,2,7447666481,小众英文｜世间所有温柔涌向你,5023279
79,2020-02-21,1950666740,★、╰︶,2,7428961315,百首流行 · 00后麦霸速成宝典,56765368
80,2020-08-07,1878617607,✘✘,0,7236259943,欧美Rap | 炸街必备，走路带风,314021
81,2020-05-21,2174875328,Kobayashi,2,7567404842,200首校园歌曲：回忆学生的时代,20053832
82,2020-10-25,3209593870,廾匸,0,7759892956,能让人成熟的，不是年龄而是经历,2043531
83,2020-11-03,3429084452,自由摇摆节奏,0,7715823716,指尖温柔：岸部真明精选集,57332
84,2020-04-30,2374133080,LANNÉ,0,5142656683,EA7  俄式硬曲 | 车载低音 稳住油门,6366401
85,2019-12-24,1127914446,青梦,0,7267095757,「粤语热歌」港风新韵单曲循环,11326516
86,2019-09-17,3446073512,酸柠檬好好恰,2,7199061409,中国新说唱 | 这些现场都很炸！,825701
87,2020-10-24,2446523656,幻菱,0,7758029803,【催眠助眠】舒缓轻音乐伴你入睡,4606147
88,2017-03-19,1220667525,安多,2,2357765928,值得收藏的100首古风： 赠君一场千年梦,70263157
89,2020-03-25,2816821559,南穹羽玄,0,5922914682,节奏控：跟随踩点，秀大神操作,3433647
90,2020-09-13,2987408894,要做一颗星星✨,0,7714254773,小确丧｜一个人听完心碎了,11136299
91,2019-06-27,2958026496,个性化特供,0,7060354092,再喝一杯烈酒，然后忘了那女孩,556113
92,2020-05-17,898981922,旅途,0,7567649112,古风精选丨待花开之时再醉一回,13201794
93,2020-04-15,1498030674,星野一,2,7520334743,短视频收藏过百万最热歌曲合集,145754586
94,2020-11-14,1924797443,晚乔,0,7728190368,能遇见你，是银河慷慨赠予我糖～,80437
95,2018-02-12,2797356293,河清净,0,1767321860,〖爆燃BGM〗引领队友走向胜利,12859262
96,2020-02-25,1498030674,星野一,2,7444822840,舒缓轻音 · 深夜入睡宝典,8711475
97,2020-08-25,3174948857,留恋夕阳与她,0,7691155409,高甜预警 | 你的奶瓶盖我承包了 ,201974
98,2018-04-07,1747907171,鹿仁,2,3811422464,静思音乐 | 清心凝神的日式纯音,21289162
99,2019-07-07,1924013694,颜词,2,7081701069,沉浸字符间：学习专用纯音,17423963
100,2020-08-19,2722411508,说唱专区官方账号,0,7683803627,Rich Brian | 宝藏说唱男孩,1267681
101,2018-06-15,2174875328,Kobayashi,2,4163453012,静心时刻：学习专用纯音,10915618
102,2020-10-13,2635732555,神仙妹妹.,0,7747870306,说唱｜甜度爆表的旋律说唱,143645
103,2020-07-07,2446523656,幻菱,0,7401064131,【沉迷学习】轻音乐的舒缓享受,10947693
104,2020-08-19,1131072037,许奕辰,0,7683698159,古风圈的那些入坑神曲，了解一下,2176934
105,2019-05-24,3163854005,韩达达,2,7004110454,韩剧OST女王的催泪神作,1962804
106,2020-07-31,2747980541,♡,0,3749804459,丧: 你的声音是治愈我的最好频率,3219603
107,2017-09-30,374763385,书童,2,2342784507,绝对典藏！400首欧美动感热曲全收录,116206656
108,2019-10-12,2686694837,再来一杯浓茶,2,7228611133,《蒙面唱将猜猜猜》Live精选辑,2263324
109,2020-11-11,2248456253,Sy.雨轩,0,7776890034,一人成名曲：记忆深处动听的旋律,1038046
110,2018-10-24,3308359265,古风圈里没有我,2,5275391892,失眠疗养所 : 300首催眠纯音,49694977
111,2016-10-20,1798583988,喜欢i,1,3147048266,让人释然的轻音乐（久石让）,8526071
112,2017-09-28,1185847270,汤圆儿,2,885955294,舒缓旋律，看书听歌两不误,1226397
113,2020-06-01,1542897217,音为有你,0,7540641459,超燃欧美Music 提升肾上腺素,16222125
114,2020-01-14,3077344505,精彩华辉,0,7271994513,催泪系列 | 失恋时建议不要去听,24521641
115,2019-09-24,3269668970,绪井奈奈未,2,7224170219,米津玄师 | 孤独天才的万丈温柔,6280239
116,2020-10-27,508312226,颜瑟.,0,7760717202,伤感片段：你是我贪恋的人间烟火,1584517
117,2020-07-01,1950666740,★、╰︶,2,7601045106,米津玄师 · 孤独里的寂寞烟火,2675287
118,2020-10-03,3244149336,鹤辞。,0,7737233393,“天晴了，而你还会回来吗”,1823933
119,2020-10-15,166191624,经典小当家,0,7746554330,旧时遗忘的过去，能否再次找回？,526750
120,2019-06-25,2982854755,算法火星哥,2,7060356689,蒙面唱将猜猜猜 | LIVE版精选辑,2890403
121,2020-08-11,1152921505008368046,顾辞.,0,7617467932,歌单：也许这就是爱情吧,5456727
122,2019-12-24,1186085891,要成为歌单王的男人,0,7347300964,肖战 | 一笑悬命的少年,7276936
123,2020-08-13,2030402442,Oblivion.¹³¹⁴,0,7675468697,超燃舞曲┃ 听说你想嗨到火星？,703506
124,2020-04-28,1412551943,收集星星“🌟”,0,7327965236,甜系女生：星河不及你的可爱,898394
125,2018-11-12,349915071,梅内斯,2,5137719959,苦涩Rap | 伤心的时候不要听 !,9887648
126,2016-10-20,449218160,933。,2,813783126,听了这些歌爱上了民谣,56716957
127,2017-07-26,2043898887,叮铃铃,2,2968770765,「欧美」节奏控首选，耐听神曲,18793742
128,2020-10-02,1152921505036041771,玖九9丶,0,7734050019,怀旧韩系 | 重温那些年的时代潮流,131586
129,2018-07-02,294109499,冷山集,0,4144081013,Trap Rap丨慵懒毒性的迷幻说唱,2983700
130,2020-05-20,2838048352,欲落,0,7570155999,超好听的中国风，都适合单曲循环,20862304
131,2020-05-29,452775188,还不是因为你长得不好看,2,7580864284,BLACKPINK出道四周年快乐！,9805127
132,2017-08-10,3554431134,微笑似年华,2,2067204248,一听就想运动，跟着节奏挥汗,3934978
